"Title","Location","Category","Price","Revenue","NetProfit","Rental","DatePosted","Link","Image"
"?????(???)?????????! ??999 Years! ? MRT! ????! ????????? Violet ??!","","","S$18,000,000(Neg.)","N/A","N/A","N/A","2026-02-04","https://www.businessforsale.sg/businesses-for-sale/999-years-mrt-violet-40036","https://image.businessforsale.sg/upload/thumbnail/202511130955175891.jpg"
"High-Tech AI Co. Seeking S$2M-5M Investment To Expand Our Proven Track Record. ????????????????????","","","Price On Request","N/A","N/A","S$5,550","2026-02-04","https://www.businessforsale.sg/businesses-for-sale/hightech-ai-co-seeking-s2m5m-investment-to-expand-our-proven-track-record-40037","https://image.businessforsale.sg/upload/thumbnail/202511131006375684.jpg"
"Cafe For Immediate Takeover In Changi Village. No Takeover Fee! ???????, ????, ????, ?????????","","","No Takeover Fee","N/A","N/A","N/A","2026-04-04","https://www.businessforsale.sg/businesses-for-sale/cafe-for-immediate-takeover-in-changi-village-no-takeover-fee-40912","https://image.businessforsale.sg/upload/thumbnail/202603050950412915.jpg"
"$ Min.8%-12% Return Guaranteed $ 20 Years History $ Best & Rarest Opportunity You Should Not Missed","","","S$40,000","N/A","N/A","N/A","2026-05-03","https://www.businessforsale.sg/businesses-for-sale/min812-return-guaranteed-20-years-history-best-rarest-opportunity-you-should-not-missed-34792","https://image.businessforsale.sg/upload/thumbnail/202412282256403197.png"
"Indoor RAS Fish Farm in Singapore ? Stocked, Ready to Grow","","","S$100,000(Neg.)","N/A","N/A","N/A","2026-05-03","https://www.businessforsale.sg/businesses-for-sale/indoor-ras-fish-farm-in-singapore-stocked-ready-to-grow-37214","https://image.businessforsale.sg/upload/thumbnail/202512081713164491.jpg"
"Offering 3 Months Trial On 20 Years History High Profit Biz! No Other Business Will Offer You Such!","","","S$40,000","N/A","N/A","N/A","2026-05-03","https://www.businessforsale.sg/businesses-for-sale/offering-3-months-trial-on-20-years-history-high-profit-biz-no-other-business-will-offer-you-such-40429","https://image.businessforsale.sg/upload/thumbnail/202512262037172698.jpg"
"??3 Months Trail ? Business Featured On Tv, Radio And Major Influencers!!!??","","","S$40,000","N/A","N/A","N/A","2026-05-03","https://www.businessforsale.sg/businesses-for-sale/3-months-trail-business-featured-on-tv-radio-and-major-influencers-40463","https://image.businessforsale.sg/upload/thumbnail/202512301805423073.jpg"
"??3 Months Trail For Stable Passive Income!!! ?? Rarest Opportunity!!! ??","","","S$40,000","N/A","N/A","N/A","2026-05-03","https://www.businessforsale.sg/businesses-for-sale/3-months-trail-for-stable-passive-income-rarest-opportunity-40586","https://image.businessforsale.sg/upload/thumbnail/202601171355531155.jpeg"
"?? Seeking Strategic Partners ? AI Trading Platform Scaling Globally","","","Price On Request","N/A","N/A","N/A","2026-05-03","https://www.businessforsale.sg/businesses-for-sale/seeking-strategic-partners-ai-trading-platform-scaling-globally-41093","https://image.businessforsale.sg/upload/thumbnail/202603201110015145.jpeg"
"Rental Of Vending Machine","","","S$3,000","N/A","N/A","N/A","2026-05-03","https://www.businessforsale.sg/businesses-for-sale/rental-of-vending-machine-41403","https://image.businessforsale.sg/upload/thumbnail/202604202349227128.jpeg"
"For Singaporeans To Co-Own A Good Profitable Biz And Enjoy Good Passive Income","","","S$8,000","N/A","N/A","N/A","2026-05-03","https://www.businessforsale.sg/businesses-for-sale/for-singaporeans-to-coown-a-good-profitable-biz-and-enjoy-good-passive-income-41429","https://image.businessforsale.sg/upload/thumbnail/202604221851127840.jpg"
"Please Learn From The Rich! Have Their Mindset!","","","S$40,000","N/A","N/A","N/A","2026-05-03","https://www.businessforsale.sg/businesses-for-sale/please-learn-from-the-rich-have-their-mindset-41430","https://image.businessforsale.sg/upload/thumbnail/202604221856594850.jpg"
"Established Meat Distribution Biz in Little India ! High Margin %","","","S$1,000,000(Neg.)","N/A","N/A","N/A","2026-05-03","https://www.businessforsale.sg/businesses-for-sale/established-meat-distribution-biz-in-little-india-high-margin-41512","https://image.businessforsale.sg/upload/thumbnail/202605032101170016.png"
"Rental Of Vending MachineJurong West S$3,000","","","Price On Request","N/A","","N/A","2026-05-04","https://www.businessforsale.sg/login","/images/flag/sg.jpg"
"Profitable Premium Skincare E-Commerce Brand For SaleAng Mo Kio $55,000","","","S$200K - 500K","N/A","","N/A","2026-05-04","https://www.businessforsale.sg/login","/images/flag/sg.jpg"
"High-Tech AI Co. Seeking S$2M-5M Investment To Expand Our Proven Track Record. ????????????????????","","","Price On Request","N/A","N/A","S$5,550","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/hightech-ai-co-seeking-s2m5m-investment-to-expand-our-proven-track-record-40037","https://image.businessforsale.sg/upload/thumbnail/202511131006375684.jpg"
"Established One-Stop Automotive Servicing Business - Strong Repeat Customers & Ev Growth Potential","","","S$4,000,000(Neg.)","N/A","N/A","S$76,000","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/established-onestop-automotive-servicing-business-strong-repeat-customers-ev-growth-potential-40511","https://image.businessforsale.sg/upload/thumbnail/202601071256149487.png"
"Premium Serviced Office & Co-Working Business | Strong Recurring Revenue | Immediate Cash Flow","","","S$2,000,000(Neg.)","S$80,587","N/A","S$16,000","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/premium-serviced-office-coworking-business-strong-recurring-revenue-immediate-cash-flow-40519","https://image.businessforsale.sg/upload/thumbnail/202601081302231040.jpg"
"High-Traffic MRT Caf? Franchise With Corporate Bulk Orders ? Turnkey Setup","","","S$320,000(Neg.)","N/A","N/A","S$5,789","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/hightraffic-mrt-caf-franchise-with-corporate-bulk-orders-turnkey-setup-40833","https://image.businessforsale.sg/upload/thumbnail/202602191720242290.jpg"
"Highly Profitable Sleep Retail Brand | 30K Customers | Exclusive Product Lines | Property Available","","","S$5,000,000(Neg.)","N/A","N/A","S$6,337","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/highly-profitable-sleep-retail-brand-30k-customers-exclusive-product-lines-property-available-40901","https://image.businessforsale.sg/upload/thumbnail/202602251833102512.jpg"
"Cafe For Immediate Takeover In Changi Village. No Takeover Fee! ???????, ????, ????, ?????????","","","No Takeover Fee","N/A","N/A","N/A","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/cafe-for-immediate-takeover-in-changi-village-no-takeover-fee-40912","https://image.businessforsale.sg/upload/thumbnail/202603050950412915.jpg"
"Established Automotive Workshop With Recurring Fleet Servicing & Government Contracts","","","S$550,000(Neg.)","N/A","N/A","S$13,000","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/established-automotive-workshop-with-recurring-fleet-servicing-government-contracts-40986","https://image.businessforsale.sg/upload/thumbnail/202603091640093410.jpg"
"Profitable Premium Skincare E-Commerce Brand For Sale","","","$55,000","$20,200","N/A","N/A","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/profitable-premium-skincare-ecommerce-brand-for-sale-41496","https://image.businessforsale.sg/upload/thumbnail/202604291938249105.png"
"Laundry Franchise Available","","","S$120,000(Neg.)","S$5,000","N/A","S$11,000","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/laundry-franchise-available-41510","https://image.businessforsale.sg/upload/thumbnail/202605021443175663.jpeg"
"Profitable Interior Design & Renovation Firm For Sale","","","S$900,000(Neg.)","N/A","S$17,500","S$17,000","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/profitable-interior-design-renovation-firm-for-sale-41517","https://image.businessforsale.sg/upload/thumbnail/202605040016314583.jpg"
"$5,000 To Launch Your Own Durian Business This Season. Online Or Offline. We Do The Work.","","","S$5,000","N/A","N/A","N/A","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/5000-to-launch-your-own-durian-business-this-season-online-or-offline-we-do-the-work-41518","https://image.businessforsale.sg/upload/thumbnail/202605041132431701.png"
"Stop Trying To Start A Co-Working Space. Buy Into One That's Already Working.","","","S$20,000","N/A","N/A","N/A","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/stop-trying-to-start-a-coworking-space-buy-into-one-thats-already-working-41520","https://image.businessforsale.sg/upload/thumbnail/202605041151086472.png"
"We Age Wine In The Ocean. Product Exists. We Need One Investor.","","","Price On Request","N/A","N/A","S$5,300","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/we-age-wine-in-the-ocean-product-exists-we-need-one-investor-41521","https://image.businessforsale.sg/upload/thumbnail/202605041154173435.png"
"Minimart For Takeover","","","S$75,000(Neg.)","N/A","N/A","N/A","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/minimart-for-takeover-41524","https://image.businessforsale.sg/upload/thumbnail/202605041220365471.jpg"
"Established Beauty Business With Strong Profit And Loyal Client Base","","","S$750,000(Neg.)","N/A","N/A","S$20,000","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/established-beauty-business-with-strong-profit-and-loyal-client-base-41525","https://image.businessforsale.sg/upload/thumbnail/202605041235187196.jpg"
"Preschool Business For Sale - 1 Center With 3 Franchise Units","","","S$850,000","N/A","N/A","N/A","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/preschool-business-for-sale-1-center-with-3-franchise-units-41529","https://image.businessforsale.sg/upload/thumbnail/202605041510026386.png"
"Early Childhood Education Platform For Sale","","","Price On Request","N/A","N/A","N/A","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/early-childhood-education-platform-for-sale-41530","https://image.businessforsale.sg/upload/thumbnail/202605041532043615.png"
"Invest In A Sugarcane Vending Machine Franchise With Avg 4.5% Monthly Return!","","","S$25,000","N/A","$4,200","N/A","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/invest-in-a-sugarcane-vending-machine-franchise-with-avg-45-monthly-return-41533","https://image.businessforsale.sg/upload/thumbnail/202605041556578230.jpg"
"Scalable Security Management Company For Sale","","","S$599,999","N/A","N/A","S$6,000","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/scalable-security-management-company-for-sale-41534","https://image.businessforsale.sg/upload/thumbnail/202605041646180786.png"
"SEEKING PARTNERSHIP / INVESTOR - HEV / EV","","","S$200K - 500K","N/A","N/A","S$6,500","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/seeking-partnership-investor-hev-ev-33399","https://image.businessforsale.sg/upload/thumbnail/202605041909212866.png"
"688 Sqft 5 rooms Well-Renovated Orchard Beauty Salon / Aesthetic Clinic Shop Space For Takeover","","","S$20,000(Neg.)","N/A","N/A","N/A","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/688-sqft-5-rooms-wellrenovated-orchard-beauty-salon-aesthetic-clinic-shop-space-for-takeover-41042","https://image.businessforsale.sg/upload/thumbnail/beauty.png"
"Profitable Chinese Fine Dining Restaurant | Prime CBD Location | Strong Revenue & Stable Operations","","","S$200,000(Neg.)","N/A","N/A","N/A","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/profitable-chinese-fine-dining-restaurant-prime-cbd-location-strong-revenue-stable-operations-41526","https://image.businessforsale.sg/upload/thumbnail/fnb.png"
"Serious Investor Wanted","","","S$80,000","S$150,000","S$1,000","S$3,679","2026-05-04","https://www.businessforsale.sg/businesses-for-sale/serious-investor-wanted-41516","https://image.businessforsale.sg/upload/thumbnail/transport.png"
"New & Promising Football Academy _ Investment OpportunityKovan S$50K - 100K","","","S$70,000(Neg.)","N/A","","N/A","2026-05-05","https://www.businessforsale.sg/login","/images/flag/sg.jpg"
"Boutique Digital Marketing Agency Business For Sale","","","S$2,200,000","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/boutique-digital-marketing-agency-business-for-sale-40204","https://image.businessforsale.sg/upload/thumbnail/202511302044347164.jpeg"
"Fast Growing Lighting Integration Distributor For Sale","","","S$5,300,000(Neg.)","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/fast-growing-lighting-integration-distributor-for-sale-40294","https://image.businessforsale.sg/upload/thumbnail/202512091031598131.jpg"
"High-Traffic MRT Caf? Franchise With Corporate Bulk Orders ? Turnkey Setup","","","S$320,000(Neg.)","N/A","N/A","S$5,789","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/hightraffic-mrt-caf-franchise-with-corporate-bulk-orders-turnkey-setup-40833","https://image.businessforsale.sg/upload/thumbnail/202602191720242290.jpg"
"Audio Visual Integration Business For Sale","","","S$1,300,000","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/audio-visual-integration-business-for-sale-40926","https://image.businessforsale.sg/upload/thumbnail/202603031728228578.jpg"
"Established Automotive Workshop With Recurring Fleet Servicing & Government Contracts","","","S$550,000(Neg.)","N/A","N/A","S$16,000","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/established-automotive-workshop-with-recurring-fleet-servicing-government-contracts-40986","https://image.businessforsale.sg/upload/thumbnail/202603091640093410.jpg"
"Auto Identification Solution Provider Business For Sale","","","RM8,000,000(Neg.)","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/auto-identification-solution-provider-business-for-sale-41161","https://image.businessforsale.sg/upload/thumbnail/202603261541131386.jpg"
"Profitable Premium Skincare E-Commerce Brand For Sale","","","$55,000","$20,200","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/profitable-premium-skincare-ecommerce-brand-for-sale-41496","https://image.businessforsale.sg/upload/thumbnail/202604291938249105.png"
"Preschool Business For Sale - 1 Center With 3 Franchise Units","","","S$850,000","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/preschool-business-for-sale-1-center-with-3-franchise-units-41529","https://image.businessforsale.sg/upload/thumbnail/202605041510026386.png"
"Early Childhood Education Platform For Sale","","","Price On Request","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/early-childhood-education-platform-for-sale-41530","https://image.businessforsale.sg/upload/thumbnail/202605041532043615.png"
"Invest In A Sugarcane Vending Machine Franchise With Avg 4.5% Monthly Return!","","","S$25,000","N/A","$4,200","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/invest-in-a-sugarcane-vending-machine-franchise-with-avg-45-monthly-return-41533","https://image.businessforsale.sg/upload/thumbnail/202605041556578230.jpg"
"Scalable Security Management Company For Sale","","","S$599,999","N/A","N/A","S$6,000","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/scalable-security-management-company-for-sale-41534","https://image.businessforsale.sg/upload/thumbnail/202605041646180786.png"
"??uen | ?????????? | ??????????????????????????? | 0% Downtime","","","S$200K - 500K","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/41536","https://image.businessforsale.sg/upload/thumbnail/202605041747505354.jpg"
"SEEKING PARTNERSHIP / INVESTOR - HEV / EV","","","S$200K - 500K","N/A","N/A","S$6,500","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/seeking-partnership-investor-hev-ev-33399","https://image.businessforsale.sg/upload/thumbnail/202605041909212866.png"
"Profitable Businesses In Different Industries Looking To Exit/Raise Funds","","","Price On Request","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/profitable-businesses-in-different-industries-looking-to-exitraise-funds-41540","https://image.businessforsale.sg/upload/thumbnail/202605051601084592.png"
"Certified Architectural Hardware Distribution Business For Sale","","","S$2,000,000","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/certified-architectural-hardware-distribution-business-for-sale-41542","https://image.businessforsale.sg/upload/thumbnail/202605051952318786.jpg"
"Individuals Who Wants To Be Your Own Boss - Tuition Centre With Students For Takeover.","","","S$50K - 100K","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/individuals-who-wants-to-be-your-own-boss-tuition-centre-with-students-for-takeover-41541","https://image.businessforsale.sg/upload/thumbnail/education.png"
"New & Promising Football Academy _ Investment Opportunity","","","S$50K - 100K","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/new-promising-football-academy-investment-opportunity-38219","https://image.businessforsale.sg/upload/thumbnail/education.png"
"Seeking Full-Time Education Business Partner To Teach & Grow An Existing School In A Good Location","","","S$40,000","N/A","N/A","S$8,000","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/seeking-fulltime-education-business-partner-to-teach-grow-an-existing-school-in-a-good-location-41545","https://image.businessforsale.sg/upload/thumbnail/education.png"
"Profitable Chinese Fine Dining Restaurant | Prime CBD Location | Strong Revenue & Stable Operations","","","S$200,000(Neg.)","N/A","N/A","N/A","2026-05-05","https://www.businessforsale.sg/businesses-for-sale/profitable-chinese-fine-dining-restaurant-prime-cbd-location-strong-revenue-stable-operations-41526","https://image.businessforsale.sg/upload/thumbnail/fnb.png"
"Chinese Restaurant at Office Area for TakeoverBukit Merah S$90,000(Neg.)","","","S$390,000(Neg.)","N/A","","","2026-05-10","https://www.businessforsale.sg/login","/images/flag/sg.jpg"
"Profitable Algo Trading Solution Looking For Investor (Verified Live Results)","","","$5,000","$5,000","N/A","S$20,000","2026-05-10","https://www.businessforsale.sg/businesses-for-sale/profitable-algo-trading-solution-looking-for-investor-verified-live-results-32765","https://image.businessforsale.sg/upload/thumbnail/202506081803463011.png"
"Cafe/Restaurant In Little India For Take Over","","","S$50K - 100K","N/A","N/A","N/A","2026-05-10","https://www.businessforsale.sg/businesses-for-sale/caferestaurant-in-little-india-for-take-over-41310","https://image.businessforsale.sg/upload/thumbnail/202604100956558869.jpg"
"Highly Profitable Pet-Safe Window Netting With Proprietary Locking System","","","S$1,000,000(Neg.)","N/A","N/A","S$8,000","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/highly-profitable-petsafe-window-netting-with-proprietary-locking-system-40182","https://image.businessforsale.sg/upload/thumbnail/202511271125556575.jpeg"
"Profitable & Established SME Loan Brokerage For Takeover –Exclusive Bank Relationships,Turnkey Setup","","","S$330,000(Neg.)","N/A","N/A","S$2,000","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/profitable-established-sme-loan-brokerage-for-takeover-exclusive-bank-relationshipsturnkey-setup-40261","https://image.businessforsale.sg/upload/thumbnail/202512052358037802.jpg"
"Mini Mart For Sale in Serangoon","","","S$600,000","S$180,000","N/A","N/A","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/mini-mart-for-sale-in-serangoon-41573","https://image.businessforsale.sg/upload/thumbnail/202605090921223707.jpg"
"Mini Mart For Sale in Geylang","","","S$300,000(Neg.)","S$100,000","S$15,000","S$5,000","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/mini-mart-for-sale-in-geylang-41572","https://image.businessforsale.sg/upload/thumbnail/202605090926250533.jpg"
"Childcare Site In Hougnag For $""0"" Takeover - Suit Student Care Operation","","","Price On Request","N/A","S$8,000","S$8,500","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/childcare-site-in-hougnag-for-0-takeover-suit-student-care-operation-40216","https://image.businessforsale.sg/upload/thumbnail/202512011415001535.jpg"
"Fully Fitted Tuition Site @ Serangoon Ctral For Takeover_Reasonable rental","","","Price On Request","N/A","N/A","N/A","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/fully-fitted-tuition-site-serangoon-ctral-for-takeoverreasonable-rental-40893","https://image.businessforsale.sg/upload/thumbnail/202602241938407047.jpg"
"Education Centre Near Bukit Gombak MRT For Takeover","","","Price On Request","N/A","N/A","N/A","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/education-centre-near-bukit-gombak-mrt-for-takeover-39907","https://image.businessforsale.sg/upload/thumbnail/202510281257467612.jpg"
"Potential Education Site @ Jurong West St 41 For $”0″ Takeover","","","Price On Request","N/A","N/A","N/A","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/potential-education-site-jurong-west-st-41-for-0-takeover-40956","https://image.businessforsale.sg/upload/thumbnail/202603061922270133.jpg"
"Fully Fitted Tuition And Enrichment Centre @ Kallang Bahru For Takeover","","","Price On Request","N/A","N/A","N/A","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/fully-fitted-tuition-and-enrichment-centre-kallang-bahru-for-takeover-40563","https://image.businessforsale.sg/upload/thumbnail/202601141514182000.jpg"
"Childcare Site In Pasir Panjang For $”0″ Takeover_ Operational Ready","","","Price On Request","N/A","N/A","N/A","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/childcare-site-in-pasir-panjang-for-0-takeover-operational-ready-41203","https://image.businessforsale.sg/upload/thumbnail/202603301353569675.jpg"
"Childcare Business In Bukit Panjang For Sale – HDB Lease","","","Price On Request","N/A","N/A","N/A","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/childcare-business-in-bukit-panjang-for-sale-hdb-lease-41575","https://image.businessforsale.sg/upload/thumbnail/202605091627231252.jpg"
"Chinese Restaurant at Office Area for Takeover","","","S$90,000(Neg.)","N/A","N/A","N/A","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/chinese-restaurant-at-office-area-for-takeover-40160","https://image.businessforsale.sg/upload/thumbnail/202605010121533841.jpeg"
"Beautiful Cafe For Immediate Take Over Near Kent Bridge MRT Station Singapore","","","Price On Request","N/A","N/A","S$9,000","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/beautiful-cafe-for-immediate-take-over-near-kent-bridge-mrt-station-singapore-41574","https://image.businessforsale.sg/upload/thumbnail/202605091209256908.jpg"
"New & Promising Football Academy _ Investment Opportunity","","","S$50K - 100K","N/A","N/A","S$9,300","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/new-promising-football-academy-investment-opportunity-38219","https://image.businessforsale.sg/upload/thumbnail/education.png"
"Scalable Premium Fruit Tea Brand With Established Sops And Supply Chain","","","Price On Request","N/A","N/A","N/A","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/scalable-premium-fruit-tea-brand-with-established-sops-and-supply-chain-41333","https://image.businessforsale.sg/upload/thumbnail/202604221717244369.jpg"
"Established F&B Manufacturing Business With Recurring B2B Revenue","","","S$4,000,000(Neg.)","N/A","N/A","N/A","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/established-fb-manufacturing-business-with-recurring-b2b-revenue-41528","https://image.businessforsale.sg/upload/thumbnail/202605081318228523.jpg"
"Property Co Owner Investments With Guaranteed ROI","","","S$138,000","S$84,000","N/A","S$7,253","2026-05-09","https://www.businessforsale.sg/businesses-for-sale/property-co-owner-investments-with-guaranteed-roi-39942","https://image.businessforsale.sg/upload/thumbnail/202605100745343254.jpg"
"$ Min.8%-12% Return Guaranteed $ 20 Years History $ Best & Rarest Opportunity You Should Not MissedCentral Area S$40,000","","","S$20,000","N/A","","","2026-05-10","https://www.businessforsale.sg/login","/images/flag/sg.jpg"
