"Title","Url","ListingId","Location","Excerpt","Price"
"Fully Fitted Tuition And Enrichment Centre @ Kallang Bahru For Takeover","https://ebat.com.sg/listing/fully-fitted-tuition-and-enrichment-centre-kallang-bahru-for-takeover/","1219","D12 Toa Payoh | Balestier | Serangoon","** HDB Commercial Shop / Approx. 800 sqft ** Rental: $6,800/- (Fresh Lease) ** Takeover fee: $35,000 (negotiable) ** Student base and furnishings available (optional) ** Immediate takeover Prime Location ** Near Geylang Bahru MRT Station ** Close to Food Centre & Market ** Near Bendemeer Primary School ** Surrounded by a densely populated HDB","$ 35,000"
"Asset Sale ? Approved Childcare Site for Immediate Takeover (Serangoon North)","https://ebat.com.sg/listing/asset-sale-approved-childcare-site-for-immediate-takeover-serangoon-north/","1305","D19 Hougang | Sengkang | Punggol","?? Turnkey | Immediate Operations | Large Capacity with Indoor & Outdoor Play Areas Rare opportunity to acquire a well-configured, fully renovated and operational childcare centre located within a peaceful mixed housing estate in Serangoon North. Surrounded by landed homes, condominiums, and HDB developments, this site is ideally positioned to capture both expatriate and local","$ 280,000"
"Asset Sale ? Approved Childcare Site for Immediate Takeover (Serangoon North)","https://ebat.com.sg/listing/asset-sale-approved-childcare-site-for-immediate-takeover-serangoon-north/","1305","D19 Hougang | Sengkang | Punggol","?? Turnkey | Immediate Operations | Large Capacity with Indoor & Outdoor Play Areas Rare opportunity to acquire a well-configured, fully renovated and operational childcare centre located within a peaceful mixed housing estate in Serangoon North. Surrounded by landed homes, condominiums, and HDB developments, this site is ideally positioned to capture both expatriate and local","$ 280,000"
"Rarely Available ? Fully Fitted Functional International School Campus for Takeover","https://ebat.com.sg/listing/rarely-available-fully-fitted-functional-international-school-campus-for-takeover/","1292","D09 Orchard | Cairnhill | River Valley","Asset Sale ? Rarely Available ? Fully Fitted Functional International School Campus in Orchard Vicinity ? For Takeover A rare opportunity to acquire a fully fitted and operational international school campus located in the prestigious Orchard vicinity. Suitable for international schools, private education institutions, enrichment centres, training academies, or education operators looking for a ready campus","$ 0"
"Rarely Available ? Fully Fitted Functional International School Campus for Takeover","https://ebat.com.sg/listing/rarely-available-fully-fitted-functional-international-school-campus-for-takeover/","1292","D09 Orchard | Cairnhill | River Valley","Asset Sale ? Rarely Available ? Fully Fitted Functional International School Campus in Orchard Vicinity ? For Takeover A rare opportunity to acquire a fully fitted and operational international school campus located in the prestigious Orchard vicinity. Suitable for international schools, private education institutions, enrichment centres, training academies, or education operators looking for a ready campus","$ 0"
"Fully Fitted Tuition Site @ Serangoon Ctral for Takeover","https://ebat.com.sg/listing/tuition-site-serangoon-ctral-for-takeover/","1258","D19 Hougang | Sengkang | Punggol","Asset Sale: Fully Fitted Tuition Site for Takeover (Serangoon Ctral) ** HDB Shophouses / Approx. 700 sqft ** Rental: $3,500/- ** Lease Expires: Nov 2027 ** Student base and Teaching Materials available (optional) ** Immediate takeover ** Takeover fee: $58,000 (negotiable) Prime Location ** Near Serangoon MRT Station ** Close to Food Centre & Market","$ 58,000"
"Potential Student Care Site in Jurong West for Rent","https://ebat.com.sg/listing/potential-student-care-site-in-jurong-west-for-rent/","1300","D22 Jurong East | Jurong West","Ideal for Student Care / Tuition / Enrichment Centre | Near Lakeside MRT | No Takeover Fee Spacious HDB shophouse unit suitable for student care, tuition, or enrichment centre operators. Strategically located near Lakeside MRT and surrounded by multiple primary and secondary schools, offering strong student catchment. Property Details Size: Approx. 1,754 sqft Monthly Rental:","$ 10,500"
"Potential Education Site @ Jurong West St 41 for $?0? takeover","https://ebat.com.sg/listing/potential-education-site-jurong-west-st-41-for-0%e2%80%b3-takeover/","1269","D22 Jurong East | Jurong West","Ideal for Student Care / Tuition / Enrichment Centre | Near Lakeside MRT | No Takeover Fee Spacious HDB shophouse unit suitable for student care, tuition, or enrichment centre operators. Strategically located near Lakeside MRT and surrounded by multiple primary and secondary schools, offering strong student catchment. Property Details Size: Approx. 1,795 sqft Current Rental:","$ 0"
"Potential Education Site @ Jurong West St 41 for $?0? takeover","https://ebat.com.sg/listing/potential-education-site-jurong-west-st-41-for-0%e2%80%b3-takeover/","1269","D22 Jurong East | Jurong West","Ideal for Student Care / Tuition / Enrichment Centre | Near Lakeside MRT | No Takeover Fee Spacious HDB shophouse unit suitable for student care, tuition, or enrichment centre operators. Strategically located near Lakeside MRT and surrounded by multiple primary and secondary schools, offering strong student catchment. Property Details Size: Approx. 1,795 sqft Current Rental:","$ 0"
"Childcare Business in Jurong West for Sale ? Starter?s Choice","https://ebat.com.sg/listing/childcare-business-in-jurong-west-for-sale-starters-choice/","1009","D22 Jurong East | Jurong West","Jurong West / HDB Commercial Unit / Approx. 1,800 sq. ft. Starter?s Choice Approved Capacity: 36 Children (Class B). Approx. 33% Filled Fully. Operational. Well Kept. Condusive. Enclaved in Mixed Residential Estate (Condo & HDB). Lease Expire: Jan 2027. Immediate. Monthly Rental: $8K Asking: $88K Neg Viewing Preference: Mon to Fri: > 7pm / Sat","$ 88,000"
"Childcare Business in Jurong West for Sale ? Starter?s Choice","https://ebat.com.sg/listing/childcare-business-in-jurong-west-for-sale-starters-choice/","1009","D22 Jurong East | Jurong West","Jurong West / HDB Commercial Unit / Approx. 1,800 sq. ft. Starter?s Choice Approved Capacity: 36 Children (Class B). Approx. 33% Filled Fully. Operational. Well Kept. Condusive. Enclaved in Mixed Residential Estate (Condo & HDB). Lease Expire: Jan 2027. Immediate. Monthly Rental: $8K Asking: $88K Neg Viewing Preference: Mon to Fri: > 7pm / Sat","$ 88,000"
"Childcare Site in Seletar For Takeover / Low Rental","https://ebat.com.sg/listing/childcare-site-in-seletar-for-takeover-low-rental/","1215","D28 Seletar | Yio Chu Kang","Starter?s Choice! ? District 28 | Landed House | Approx. 4,764 sqft | Low Rental Fully Set-Up Premises (Asset Sale) Turnkey & Operationally Ready | Newly Renovated Approved capacity for 44 children. Thoughtfully designed with generous indoor and outdoor spaces. Spacious landed property within landed housing enclave & new HDB estate. Excellent potential for growth.","$ 70,000"
"Childcare Site in Pasir Panjiang for $?0? Takeover_ Operational Ready","https://ebat.com.sg/listing/childcare-site-in-pasir-panjiang-for-0%e2%80%b3-takeover_-operational-ready/","1283","D05 Clementi | West Coast | Pasir Panjang","Starter?s Choice! ? District 5 | Landed House | Capacity: 46 [36 CC + 10 IFC] Fully Set-Up Premises (Asset Sale) Turnkey & Operationally Ready Approved capacity for 46 children Class A and B Licence). Spacious landed property within landed housing enclave and Condominium estate. Excellent potential for growth for expatriate market. Large private garden","$ 0"
"Childcare Site in Seletar For Takeover / Low Rental","https://ebat.com.sg/listing/childcare-site-in-seletar-for-takeover-low-rental/","1215","D28 Seletar | Yio Chu Kang","Starter?s Choice! ? District 28 | Landed House | Approx. 4,764 sqft | Low Rental Fully Set-Up Premises (Asset Sale) Turnkey & Operationally Ready | Newly Renovated Approved capacity for 44 children. Thoughtfully designed with generous indoor and outdoor spaces. Spacious landed property within landed housing enclave & new HDB estate. Excellent potential for growth.","$ 70,000"
"Childcare Site in Pasir Panjiang for $?0? Takeover_ Operational Ready","https://ebat.com.sg/listing/childcare-site-in-pasir-panjiang-for-0%e2%80%b3-takeover_-operational-ready/","1283","D05 Clementi | West Coast | Pasir Panjang","Starter?s Choice! ? District 5 | Landed House | Capacity: 46 [36 CC + 10 IFC] Fully Set-Up Premises (Asset Sale) Turnkey & Operationally Ready Approved capacity for 46 children Class A and B Licence). Spacious landed property within landed housing enclave and Condominium estate. Excellent potential for growth for expatriate market. Large private garden","$ 0"
"Childcare Opportunity for Lease – Jalan Bukit Merah (Near Queenway Area)","https://ebat.com.sg/listing/childcare-opportunity-for-lease-jalan-bukit-merah-near-queenway-area/","1329","D03 Queenstown | Tiong Bahru","Childcare Opportunity for Lease – Jalan Bukit Merah (Near Queenway Area) Rare opportunity to secure a well-located childcare premises within the established Jalan Bukit Merah precinct, in close proximity to Queenway Shopping Centre and surrounded by a strong residential catchment. Key Highlights: Zoning: Civic & Community Institution (suitable for childcare use) Unit Size: Approx. 6,350","$ 6.50"
"Childcare Business (Ongoing) in Tampines for Sale","https://ebat.com.sg/listing/childcare-business-ongoing-in-tampines-for-sale/","1325","D18 Tampines | Pasir Ris","Children Business in Tampines for Sale. Well-established and successfully operating for over 20 years and deeply rooted in the local community. Located in the Heart of HDB Residential Housing Estate. An ideal opportunity for new startups, offering low initial capital commitment, fully operational setup, and significant savings in time and hassle. Property Details Location: Tampines","$ 150,000"
"Asset Sale – Approved Childcare Site for Immediate Takeover (Serangoon North)","https://ebat.com.sg/listing/asset-sale-approved-childcare-site-for-immediate-takeover-serangoon-north/","1305","D19 Hougang | Sengkang | Punggol","☑️ Turnkey | Immediate Operations | Large Capacity with Indoor & Outdoor Play Areas Rare opportunity to acquire a well-configured, fully renovated and operational childcare centre located within a peaceful mixed housing estate in Serangoon North. Surrounded by landed homes, condominiums, and HDB developments, this site is ideally positioned to capture both expatriate and local","$ 280,000"
"Rarely Available – Fully Fitted Functional International School Campus for Takeover","https://ebat.com.sg/listing/rarely-available-fully-fitted-functional-international-school-campus-for-takeover/","1292","D09 Orchard | Cairnhill | River Valley","Asset Sale – Rarely Available – Fully Fitted Functional International School Campus in Orchard Vicinity – For Takeover A rare opportunity to acquire a fully fitted and operational international school campus located in the prestigious Orchard vicinity. Suitable for international schools, private education institutions, enrichment centres, training academies, or education operators looking for a ready campus","$ 0"
"Childcare Site in Pasir Panjiang for $”0″ Takeover_ Operational Ready","https://ebat.com.sg/listing/childcare-site-in-pasir-panjiang-for-0%e2%80%b3-takeover_-operational-ready/","1283","D05 Clementi | West Coast | Pasir Panjang","Starter’s Choice! – District 5 | Landed House | Capacity: 46 [36 CC + 10 IFC] Fully Set-Up Premises (Asset Sale) Turnkey & Operationally Ready Approved capacity for 46 children Class A and B Licence). Spacious landed property within landed housing enclave and Condominium estate. Excellent potential for growth for expatriate market. Large private garden","$ 0"
"Potential Education Site @ Jurong West St 41 for $”0″ takeover","https://ebat.com.sg/listing/potential-education-site-jurong-west-st-41-for-0%e2%80%b3-takeover/","1269","D22 Jurong East | Jurong West","Ideal for Student Care / Tuition / Enrichment Centre | Near Lakeside MRT | No Takeover Fee Spacious HDB shophouse unit suitable for student care, tuition, or enrichment centre operators. Strategically located near Lakeside MRT and surrounded by multiple primary and secondary schools, offering strong student catchment. Property Details Size: Approx. 1,795 sqft Current Rental:","$ 0"
"Childcare Site in Seletar For Takeover / Low Rental","https://ebat.com.sg/listing/childcare-site-in-seletar-for-takeover-low-rental/","1215","D28 Seletar | Yio Chu Kang","Starter’s Choice! – District 28 | Landed House | Approx. 4,764 sqft | Low Rental Fully Set-Up Premises (Asset Sale) Turnkey & Operationally Ready | Newly Renovated Approved capacity for 44 children. Thoughtfully designed with generous indoor and outdoor spaces. Spacious landed property within landed housing enclave & new HDB estate. Excellent potential for growth.","$ 70,000"
"Childcare Business in Clementi for Sale","https://ebat.com.sg/listing/childcare-business-in-clementi-for-sale/","1336","D05 Clementi | West Coast | Pasir Panjang","Rare opportunity to acquire a fully operational childcare centre located within the sought-afterClementi vicinity. Nestled in the heart of a well-established mixed residential enclave, the centre enjoys strong visibility and accessibility from a large surrounding community of massive condominium developments, HDB estates, and landed housing. A key feature of this site is its spacious outdoor","$ 250,000"
